Repository Name,Has Maintainers?,Current Maintainers,Open Issues,Repository URL
"plugin-browser","false","","0","https://github.com/elizaos-plugins/plugin-browser"
"plugin-image","false","","1","https://github.com/elizaos-plugins/plugin-image"
"plugin-pdf","false","","0","https://github.com/elizaos-plugins/plugin-pdf"
"plugin-video","false","","0","https://github.com/elizaos-plugins/plugin-video"
"plugin-llama","false","","0","https://github.com/elizaos-plugins/plugin-llama"
"adapter-mongodb","false","","0","https://github.com/elizaos-plugins/adapter-mongodb"
"client-alexa","false","","0","https://github.com/elizaos-plugins/client-alexa"
"client-deva","false","","0","https://github.com/elizaos-plugins/client-deva"
"client-direct","false","","0","https://github.com/elizaos-plugins/client-direct"
"client-eliza-home","false","","0","https://github.com/elizaos-plugins/client-eliza-home"
"client-instagram","false","","0","https://github.com/elizaos-plugins/client-instagram"
"client-simsai","false","","0","https://github.com/elizaos-plugins/client-simsai"
"client-telegram-account","false","","0","https://github.com/elizaos-plugins/client-telegram-account"
"client-xmtp","false","","0","https://github.com/elizaos-plugins/client-xmtp"
"plugin-0x","false","","0","https://github.com/elizaos-plugins/plugin-0x"
"plugin-agentkit","false","","0","https://github.com/elizaos-plugins/plugin-agentkit"
"plugin-ankr","false","","0","https://github.com/elizaos-plugins/plugin-ankr"
"plugin-apro","false","","1","https://github.com/elizaos-plugins/plugin-apro"
"plugin-arbitrage","false","","0","https://github.com/elizaos-plugins/plugin-arbitrage"
"plugin-b2","false","","0","https://github.com/elizaos-plugins/plugin-b2"
"plugin-birdeye","false","","0","https://github.com/elizaos-plugins/plugin-birdeye"
"plugin-bittensor","false","","0","https://github.com/elizaos-plugins/plugin-bittensor"
"plugin-bnb","false","","0","https://github.com/elizaos-plugins/plugin-bnb"
"plugin-bootstrap","false","","0","https://github.com/elizaos-plugins/plugin-bootstrap"
"plugin-chainbase","false","","0","https://github.com/elizaos-plugins/plugin-chainbase"
"plugin-cronos","false","","0","https://github.com/elizaos-plugins/plugin-cronos"
"plugin-dcap","false","","0","https://github.com/elizaos-plugins/plugin-dcap"
"plugin-desk-exchange","false","","0","https://github.com/elizaos-plugins/plugin-desk-exchange"
"plugin-devin","false","","0","https://github.com/elizaos-plugins/plugin-devin"
"plugin-dexscreener","false","","0","https://github.com/elizaos-plugins/plugin-dexscreener"
"plugin-di","false","","0","https://github.com/elizaos-plugins/plugin-di"
"plugin-dkg","false","","0","https://github.com/elizaos-plugins/plugin-dkg"
"plugin-edwin","false","","1","https://github.com/elizaos-plugins/plugin-edwin"
"plugin-email","false","","0","https://github.com/elizaos-plugins/plugin-email"
"plugin-email-automation","false","","0","https://github.com/elizaos-plugins/plugin-email-automation"
"plugin-ethstorage","false","","0","https://github.com/elizaos-plugins/plugin-ethstorage"
"plugin-football","false","","0","https://github.com/elizaos-plugins/plugin-football"
"plugin-form","false","","0","https://github.com/elizaos-plugins/plugin-form"
"plugin-gelato","false","","0","https://github.com/elizaos-plugins/plugin-gelato"
"plugin-gitcoin-passport","false","","1","https://github.com/elizaos-plugins/plugin-gitcoin-passport"
"plugin-imgflip","false","","0","https://github.com/elizaos-plugins/plugin-imgflip"
"plugin-initia","false","","0","https://github.com/elizaos-plugins/plugin-initia"
"plugin-injective","false","","0","https://github.com/elizaos-plugins/plugin-injective"
"plugin-iq6900","false","","0","https://github.com/elizaos-plugins/plugin-iq6900"
"plugin-lens-network","false","","0","https://github.com/elizaos-plugins/plugin-lens-network"
"plugin-lightning","false","","0","https://github.com/elizaos-plugins/plugin-lightning"
"plugin-lit","false","","0","https://github.com/elizaos-plugins/plugin-lit"
"plugin-mina","false","","0","https://github.com/elizaos-plugins/plugin-mina"
"plugin-mind-network","false","","0","https://github.com/elizaos-plugins/plugin-mind-network"
"plugin-moralis","false","","0","https://github.com/elizaos-plugins/plugin-moralis"
"plugin-news","false","","0","https://github.com/elizaos-plugins/plugin-news"
"plugin-nft-collections","false","","0","https://github.com/elizaos-plugins/plugin-nft-collections"
"plugin-nvidia-nim","false","","0","https://github.com/elizaos-plugins/plugin-nvidia-nim"
"plugin-omniflix","true","BlockEater96","0","https://github.com/elizaos-plugins/plugin-omniflix"
"plugin-openai","false","","0","https://github.com/elizaos-plugins/plugin-openai"
"plugin-pyth-data","false","","0","https://github.com/elizaos-plugins/plugin-pyth-data"
"plugin-quick-intel","false","","0","https://github.com/elizaos-plugins/plugin-quick-intel"
"plugin-router-nitro","false","","0","https://github.com/elizaos-plugins/plugin-router-nitro"
"plugin-sei","false","","0","https://github.com/elizaos-plugins/plugin-sei"
"plugin-solana-agent-kit","false","","0","https://github.com/elizaos-plugins/plugin-solana-agent-kit"
"plugin-solana-v2","false","","0","https://github.com/elizaos-plugins/plugin-solana-v2"
"plugin-squid-router","false","","0","https://github.com/elizaos-plugins/plugin-squid-router"
"plugin-suno","false","","0","https://github.com/elizaos-plugins/plugin-suno"
"plugin-tee-verifiable-log","false","","0","https://github.com/elizaos-plugins/plugin-tee-verifiable-log"
"plugin-trikon","false","","0","https://github.com/elizaos-plugins/plugin-trikon"
"plugin-udio","false","","0","https://github.com/elizaos-plugins/plugin-udio"
"plugin-zerion","false","","0","https://github.com/elizaos-plugins/plugin-zerion"
"plugin-zilliqa","false","","0","https://github.com/elizaos-plugins/plugin-zilliqa"
"plugin-holdstation","false","","0","https://github.com/elizaos-plugins/plugin-holdstation"
"plugin-hyperbolic","false","","0","https://github.com/elizaos-plugins/plugin-hyperbolic"
"adapter-supabase","false","","1","https://github.com/elizaos-plugins/adapter-supabase"
"adapter-pglite","false","","0","https://github.com/elizaos-plugins/adapter-pglite"
"adapter-postgres","false","","1","https://github.com/elizaos-plugins/adapter-postgres"
"adapter-qdrant","false","","0","https://github.com/elizaos-plugins/adapter-qdrant"
"cache-redis","false","","0","https://github.com/elizaos-plugins/cache-redis"
"adapter-sqlite","false","","0","https://github.com/elizaos-plugins/adapter-sqlite"
"adapter-sqljs","false","","0","https://github.com/elizaos-plugins/adapter-sqljs"
"plugin-starter","false","","0","https://github.com/elizaos-plugins/plugin-starter"
